Country,City,AQI_value,AQI_category,CO_AQI_value,CO_AQI_category,Ozone_AQI_value,Ozone_AQI_category,NO2_AQI_value,NO2_AQI_category,PM2_5_AQI_value,PM2_5_AQI_category,latitude,longitude,Description
Nicaragua,Corinto,69,Moderate,1,Good,14,Good,3,Good,69,Moderate,3.1739,-76.2594,"""No description provided"""
Canada,Courtenay,47,Good,1,Good,36,Good,0,Good,47,Good,49.6878,-124.9944,"""No description provided"""
Belgium,Couvin,62,Moderate,1,Good,37,Good,3,Good,62,Moderate,50.05,4.4833,"""Couvin is a city and municipality of Wallonia located in the province of Namur, Belgium."""
Canada,Cowansville,63,Moderate,1,Good,28,Good,3,Good,63,Moderate,45.2,-72.75,"""Cowansville is a town in south-central Quebec, Canada, located on Lac Davignon 20 kilometres (12 mi) north of the U.S. border. It is the seat of Brome-Missisquoi, a regional county municipality. The population as of the Canada 2021 Census was 15,234."""
United States of America,Creve Coeur,60,Moderate,2,Good,24,Good,13,Good,60,Moderate,38.662,-90.443,"""No description provided"""
United States of America,Chapel Hill,60,Moderate,2,Good,34,Good,7,Good,60,Moderate,35.9271,-79.0391,"""No description provided"""
France,Chartres,38,Good,1,Good,29,Good,2,Good,38,Good,48.456,1.484,"""Chartres is the prefecture of the Eure-et-Loir department in the Centre-Val de Loire region in France. It is located about 90 km (56 mi) southwest of Paris. At the 2019 census, there were 170,763 inhabitants in the metropolitan area of Chartres, 38,534 of whom lived in the city (commune) of Chartres proper."""
India,Chengam,34,Good,1,Good,29,Good,0,Good,34,Good,12.3112,78.7925,"""Chengam is an important market town and a taluk headquarter in the Foot hills of Eastern ghats in Tiruvannamalai district of Tamil Nadu, India. Chengam is the gateway to the Chengam pass in the Eastern ghats between Javvadhu hills to the north and Chennakesava hills to the south. The town is also the centre for various industrial activities which includes Sathanur dam hydro-electric project, Aavin milk processing plant and Periya Kolappadi SIDCO estate."""
France,Cherbourg,49,Good,1,Good,13,Good,10,Good,49,Good,49.6333,-1.6,"""Cherbourg is a former commune and subprefecture located at the northern end of the Cotentin peninsula in the northwestern French department of Manche. It was merged into the commune of Cherbourg-Octeville on 28 February 2000, which was merged into the new commune of Cherbourg-en-Cotentin on 1 January 2016."""
India,Chhapra,149,Unhealthy for Sensitive Groups,3,Good,99,Moderate,2,Good,149,Unhealthy for Sensitive Groups,26.4005,85.3721,"""Chhapra is a city and headquarters of the Saran District in the Indian state of Bihar. It is situated near the junction of the Ghaghara River and the Ganges River."""
Guatemala,Chichicastenango,61,Moderate,2,Good,7,Good,5,Good,61,Moderate,14.9442,-91.1105,"""Chichicastenango, also known as Santo Tomás Chichicastenango, is a town, with a population of 71,394, and the municipal seat for the surrounding municipality of the same name in the El Quiché department of Guatemala. It is located in a mountainous region about 140 km (87 mi) northwest of Guatemala City, at an altitude of 1,965 m (6,447 ft). The Spanish conquistadors gave the town its name from the Nahuatl name used by their allied soldiers from Tlaxcala: Tzitzicaztenanco, or City of Nettles. Its original name was Chaviar."""
India,Chicholi,160,Unhealthy,2,Good,87,Moderate,0,Good,160,Unhealthy,22.01,77.66,"""Chicholi is a census town and a municipal committee in the Betul district in the Indian state of Madhya Pradesh."""
Russian Federation,Chita,39,Good,1,Good,39,Good,0,Good,17,Good,52.0333,113.5,"""No description provided"""
Argentina,Chivilcoy,16,Good,0,Good,16,Good,1,Good,14,Good,-34.9,-60.0167,"""Chivilcoy is a city in Buenos Aires Province, Argentina, the head town of the Chivilcoy Partido. It has 64,185 inhabitants according to the 2010 census [INDEC]."""
Italy,Cingoli,45,Good,1,Good,45,Good,2,Good,45,Good,43.3667,13.2167,"""Cingoli is a town and comune of the Marches, Italy, in the province of Macerata, about 27 kilometres (17 mi) by road from the town of Macerata. It is the birthplace of Pope Pius VIII. It is one of I Borghi più belli d'Italia."""
United States of America,Clearfield,56,Moderate,1,Good,6,Good,13,Good,56,Moderate,41.103,-112.0238,"""No description provided"""
