Country,City,AQI_value,AQI_category,CO_AQI_value,CO_AQI_category,Ozone_AQI_value,Ozone_AQI_category,NO2_AQI_value,NO2_AQI_category,PM2_5_AQI_value,PM2_5_AQI_category,latitude,longitude,Description
United States of America,Harker Heights,46,Good,1,Good,21,Good,2,Good,46,Good,31.0572,-97.6446,"""Harker Heights is a city in Bell County, Texas, United States. As of the 2020 census, 33,097 people resided in the city, up from a population of 17,308 in 2000. This makes Harker Heights the third-largest city in Bell County, after Killeen and Temple. Incorporated in 1960, the city derives its name from one of the two original landowners and founder, Harley Kern. Harker Heights is part of the Killeen–Temple–Fort Hood metropolitan area."""
United States of America,Harvey,59,Moderate,1,Good,19,Good,7,Good,59,Moderate,29.8876,-90.0666,"""No description provided"""
United Kingdom of Great Britain and Northern Ireland,Hatfield,30,Good,0,Good,30,Good,1,Good,25,Good,51.7636,-0.2258,"""No description provided"""
India,Hatta,155,Unhealthy,1,Good,43,Good,0,Good,155,Unhealthy,24.1341,79.6012,"""No description provided"""
Netherlands,Hattem,32,Good,1,Good,30,Good,3,Good,32,Good,52.4667,6.0667,"""Hattem is a municipality and a city in the eastern Netherlands. The municipality had a population of 12,228 in 2021. The municipality includes the hamlet of 't Zand."""
Japan,Hayama,51,Moderate,1,Good,36,Good,5,Good,51,Moderate,35.2725,139.5861,"""Hayama is a town located in Kanagawa Prefecture, on central Honshū, Japan. As of 1 April 2021, the town had an estimated population of 32,961 and a population density of 1900 persons per km2. The total area of the town is 17.06 square kilometres (6.59 sq mi). Since 1894, the Japanese Imperial Family has maintained a residence in Hayama, the seaside Hayama Imperial Villa."""
Sweden,Helsingborg,39,Good,0,Good,39,Good,0,Good,19,Good,56.05,12.7167,"""Helsingborg, is a city and the seat of Helsingborg Municipality, Scania (Skåne), Sweden. It is the second-largest city in Scania and ninth-largest in Sweden, with a population of 151,404 (2024). Helsingborg is the central urban area of northwestern Scania and Sweden's closest point to Denmark: the Danish city Helsingør is clearly visible about 4 km (2.5 mi) to the west on the other side of the Øresund."""
Finland,Helsinki,162,Unhealthy,5,Good,17,Good,15,Good,162,Unhealthy,60.1708,24.9375,"""Helsinki is the capital and most populous city in Finland. It is on the shore of the Gulf of Finland and is the seat of southern Finland's Uusimaa region. About 685,000 people live in the municipality, with 1.3 million in the capital region and 1.61 million in the metropolitan area. As the most populous urban area in Finland, it is the country's most significant centre for politics, education, finance, culture, and research. Helsinki is 80 kilometres (50 mi) north of Tallinn, Estonia, 400 kilometres (250 mi) east of Stockholm, Sweden, and 300 kilometres (190 mi) west of Saint Petersburg, Russia. Helsinki has significant historical connections with these three cities."""
Netherlands,Heusden,39,Good,1,Good,29,Good,4,Good,39,Good,51.6998,5.166,"""Heusden is a municipality and a city in the south of the Netherlands. It is located between the towns of Waalwijk and 's-Hertogenbosch. The municipality of Heusden, including Herpt, Heesbeen, Hedikhuizen, Doeveren, and Oudheusden, merged with Drunen and Vlijmen in 1997, giving the municipality its current form."""
United States of America,Highlands Ranch,76,Moderate,2,Good,5,Good,14,Good,76,Moderate,39.5419,-104.9708,"""Highlands Ranch is an unincorporated community and a census-designated place (CDP) located in and governed by Douglas County, Colorado, United States. The CDP is a part of the Denver–Aurora–Lakewood, CO Metropolitan Statistical Area. The population of the Highlands Ranch CDP was 105,631 at the 2020 census, making it the largest community in Douglas County and the most populous unincorporated community in Colorado. The Highlands Ranch Metropolitan District provides services to the community, which lies in ZIP Codes 80126, 80129, 80130, and 80163."""
United States of America,Immokalee,62,Moderate,2,Good,11,Good,9,Good,62,Moderate,26.4253,-81.4251,"""Immokalee is an unincorporated community and census-designated place in Collier County, Florida, United States. The population was 24,557 at the 2020 census, up from 24,154 at the 2010 census. It is part of the Naples–Marco Island metropolitan area."""
United Republic of Tanzania,Iringa,17,Good,0,Good,17,Good,0,Good,11,Good,-7.77,35.69,"""Iringa is a city in Tanzania with a population of 202,490 and situated at a latitude of 7.77°S and longitude of 35.69°E. The name is derived from the Hehe word lilinga, meaning fort. Iringa is the administrative capital of Iringa Region. Iringa Municipal Council is the administrative designation of the Municipality of Iringa. Iringa has been one of the coldest regions in Tanzania due to its geographical location but that has attracted a lot of tourists from colder regions abroad especially Western Europe. Iringa also hosts one of Africa’s largest national parks the Ruaha National Park."""
Uzbekistan,Iskandar,124,Unhealthy for Sensitive Groups,1,Good,58,Moderate,2,Good,124,Unhealthy for Sensitive Groups,41.5581,69.7047,"""Iskandar (name) or Eskandar also Iskander, Skandar, or Scandar is a given name and a surname."""
United States of America,Islip,83,Moderate,2,Good,41,Good,11,Good,83,Moderate,40.7385,-73.1888,"""No description provided"""
Colombia,Ituango,34,Good,1,Good,13,Good,0,Good,34,Good,7.1667,-75.75,"""Ituango is a town and municipality in the Colombian department of Antioquia. It is part of the subregion of Northern Antioquia. The population was 23,784 at the 2018 census."""
Belgium,Izegem,37,Good,1,Good,24,Good,3,Good,37,Good,50.9172,3.215,"""Izegem is a city and municipality located in the Belgian province of West Flanders. The municipality comprises the city of Izegem proper and the towns of Emelgem and Kachtem. Emelgem was added to Izegem in 1965, Kachtem in 1977. Izegem itself lies on the southern banks of the Mandel, Emelgem and Kachtem on the north. Along the shores of the canal a large industrial zone has developed, which made the three municipalities one urban area. On January 1, 2006, Izegem had a total population of 26,544. The total area is 25.48 km2 (9.84 sq mi) which gives a population density of 1,042 inhabitants per km²."""
Brazil,Jales,58,Moderate,1,Good,11,Good,1,Good,58,Moderate,-20.2689,-50.5458,"""Jales is a municipality in the state of São Paulo, Brazil. The population in 2020, according to the IBGE, is 49,201 inhabitants. The city is located 601 km from the city of São Paulo."""
United Kingdom of Great Britain and Northern Ireland,Gosforth,56,Moderate,0,Good,32,Good,0,Good,56,Moderate,55.007,-1.623,"""Gosforth is an area of Newcastle upon Tyne, England, situated north of the City Centre. It constituted a separate urban district of Northumberland from 1895 until 1974 before officially merging with the city of Newcastle upon Tyne. In 2001, it had a population of 23,620."""
Mexico,Guadalupe,28,Good,1,Good,16,Good,2,Good,28,Good,25.6775,-100.2597,"""No description provided"""
Brazil,Guarapuava,15,Good,0,Good,13,Good,0,Good,15,Good,-25.3833,-51.45,"""Guarapuava is a municipality in the state of Paraná in Brazil. It is the largest municipality in that state by area. Considered a regional development hub with a strong influence on neighboring municipalities, it is also part of a railroad junction of national importance called the Mercosur corridor, between the municipalities of Foz do Iguaçu and Curitiba. It is the richest agribusiness municipality in the state of Paraná."""
Turkmenistan,Gumdag,115,Unhealthy for Sensitive Groups,1,Good,41,Good,0,Good,115,Unhealthy for Sensitive Groups,39.2061,54.5906,"""Gumdag is a town in Balkan Province, Turkmenistan. It is located 43 km southeast of the city of Balkanabat. To the south-east of the town, lies the Boyadag Mud Volcano."""
Germany,Hagenow,33,Good,0,Good,33,Good,1,Good,33,Good,53.4167,11.1833,"""Hagenow is a German town in the southwest of Mecklenburg-Western Pomerania, in the district of Ludwigslust-Parchim, 30 kilometers south of Schwerin. Its population is approximately 11,300 inhabitants (2013)."""
China,Haicheng,134,Unhealthy for Sensitive Groups,3,Good,134,Unhealthy for Sensitive Groups,1,Good,77,Moderate,40.8523,122.7474,"""No description provided"""
Somalia,Hargeysa,96,Moderate,0,Good,19,Good,0,Good,96,Moderate,9.5631,44.0675,"""Hargeisa is the capital and largest city of the Republic of Somaliland, a de facto sovereign state in the Horn of Africa, still considered internationally to be part of Somalia. It is also the regional capital of the Maroodi Jeex region of Somaliland."""
Liberia,Harper,31,Good,0,Good,27,Good,0,Good,31,Good,4.3667,-7.7167,"""No description provided"""
Germany,Harsewinkel,39,Good,0,Good,34,Good,1,Good,39,Good,51.9667,8.2331,"""Harsewinkel is a town in Gütersloh District in the state of North Rhine-Westphalia, Germany. It lies on the river Ems, some 15 km north-west of Gütersloh."""
United States of America,Hawthorne,116,Unhealthy for Sensitive Groups,4,Good,7,Good,46,Good,116,Unhealthy for Sensitive Groups,33.9147,-118.3476,"""No description provided"""
China,Hegang,40,Good,1,Good,40,Good,0,Good,24,Good,47.3139,130.2775,"""Hegang, is a prefecture-level city in Heilongjiang province of the People's Republic of China, situated in the southeastern section of the Lesser Khingan Range, facing Jiamusi across the Songhua River to the south and Russia's Jewish Autonomous Oblast across the Amur River to the north. Hegang is one of the principal coal-producing cities in China. Hegang covers an administrative area of 14,679.88 km2 (5,667.93 sq mi) and according to the 2020 Chinese census, has a population of 891,271 inhabitants, of whom 545,404 lived in the built-up area made of 6 urban districts."""
Germany,Herxheim,54,Moderate,1,Good,30,Good,3,Good,54,Moderate,49.1469,8.22,"""No description provided"""
United States of America,Onalaska,46,Good,1,Good,46,Good,1,Good,33,Good,43.8883,-91.2075,"""No description provided"""
Aruba,Oranjestad,163,Unhealthy,0,Good,23,Good,0,Good,163,Unhealthy,12.5186,-70.0358,"""No description provided"""
Germany,Ostfildern,40,Good,1,Good,23,Good,3,Good,40,Good,48.7333,9.25,"""Ostfildern is a town in the district of Esslingen in Baden-Württemberg in southern Germany. It is located approximately 8 km southeast of Stuttgart. It was formed in 1975 out of a fusion of the previously separate boroughs of Nellingen, Ruit, Kemnat and Scharnhausen and currently has approximately 37,000 inhabitants."""
Czechia,Otrokovice,60,Moderate,1,Good,30,Good,2,Good,60,Moderate,49.2099,17.5308,"""Otrokovice is a town in Zlín District in the Zlín Region of the Czech Republic. It has about 18,000 inhabitants. It is known as an industrial centre."""
Benin,Ouidah,100,Unhealthy for Sensitive Groups,2,Good,18,Good,2,Good,100,Unhealthy for Sensitive Groups,6.3667,2.0833,"""Ouidah or Whydah, and known locally as Glexwe, formerly the chief port of the Kingdom of Whydah, is a city on the coast of the Republic of Benin. The commune covers an area of 364 km2 (141 sq mi) and as of 2002 had a population of 76,555 people."""
Italy,Padova,54,Moderate,1,Good,35,Good,4,Good,54,Moderate,45.4064,11.8778,"""Padua is a city and comune (municipality) in Veneto, northern Italy, and the capital of the province of Padua. The city lies on the banks of the river Bacchiglione, 40 kilometres west of Venice and 29 km southeast of Vicenza, and has a population of 214,000. It is also the economic and communications hub of the area. Padua is sometimes included, with Venice and Treviso, in the Padua-Treviso-Venice Metropolitan Area (PATREVE) which has a population of around 2,600,000."""
Uganda,Pakwach,57,Moderate,2,Good,18,Good,0,Good,57,Moderate,2.4619,31.4983,"""Pakwach is a town in the Northern Region of Uganda. It is the main commercial, political and administrative center of Pakwach District. In the 19th century the town came under brief occupation by the Ottoman branch of the Khedivate of Egypt, as part of Hatt-ı Üstuva (Equatoria) Vilayet."""
United States of America,Palm Springs,35,Good,1,Good,20,Good,6,Good,35,Good,26.6348,-80.0969,"""Palm Springs is a desert resort city in Riverside County, California, United States, within the Colorado Desert's Coachella Valley. The city covers approximately 94 square miles (240 km2), making it the largest city in Riverside County by land area. With multiple plots in checkerboard pattern, more than 10% of the city is part of the Agua Caliente Band of Cahuilla Indians reservation land and is the administrative capital of the most populated reservation in California."""
Philippines,President Roxas,63,Moderate,1,Good,26,Good,0,Good,63,Moderate,7.1544,125.0558,"""No description provided"""
South Africa,Pretoria,329,Hazardous,20,Good,2,Good,18,Good,329,Hazardous,-25.7461,28.1881,"""Pretoria is South Africa's administrative capital, serving as the seat of the executive branch of government, and as the host to all foreign embassies to South Africa."""
Germany,Pritzwalk,38,Good,0,Good,28,Good,2,Good,38,Good,53.15,12.1833,"""Pritzwalk is a town in the district of Prignitz, in Brandenburg, Germany. It is situated 20 km west of Wittstock, and 33 km northeast of Wittenberge. The river Dömnitz flows through Pritzwalk."""
Russian Federation,Protvino,37,Good,1,Good,37,Good,0,Good,26,Good,54.8833,37.2167,"""Protvino is a town in Moscow Oblast, Russia, located about 100 kilometers (62 mi) south of Moscow and 15 kilometers (9.3 mi) west of Serpukhov, on the left bank of the Protva River. Population: 37,308 (2010 Census); 36,175 (2002 Census); 34,520 (1989 Soviet census)."""
Costa Rica,Puntarenas,52,Moderate,1,Good,15,Good,5,Good,52,Moderate,9.9667,-84.8333,"""Puntarenas is a city in the Puntarenas Province, on the Pacific coast of Costa Rica. As the seat of the Municipality of Puntarenas canton, it is awarded the title of city, which comprises the Puntarenas, Chacarita and El Roble districts. As the city of the first canton of the province, it is the capital city of the Puntarenas Province as well, according to the Administrative divisions of Costa Rica."""
United States of America,Quincy,64,Moderate,1,Good,30,Good,4,Good,64,Moderate,42.2506,-71.0187,"""No description provided"""
Australia,Raymond Terrace,24,Good,0,Good,24,Good,2,Good,10,Good,-32.7615,151.7441,"""Raymond Terrace, locally known as 'Raymo”, is a town in the Hunter Region of New South Wales, Australia, about 26 km (16 mi) by road north of Newcastle on the Pacific Highway. Established in 1837 it is situated at the confluence of the Hunter and Williams rivers. The town was named after Lieutenant Raymond, who had explored the Hunter River in 1797 and described the terraced appearance of trees in the area. Governor Lachlan Macquarie camped in the area in 1818, using 'Raymond's Terrace' as the name for the place where his party had camped."""
United States of America,Redwood City,66,Moderate,1,Good,24,Good,15,Good,66,Moderate,37.5025,-122.2253,"""Redwood City is a city on the San Francisco Peninsula in Northern California's Bay Area, approximately 27 miles (43 km) south of San Francisco, and 24 miles (39 km) northwest of San Jose. Redwood City's history spans its earliest inhabitation by the Ohlone people to being a port for lumber and other goods. The county seat of San Mateo County in the heart of Silicon Valley, Redwood City is home to several global technology companies including Oracle, Electronic Arts, Evernote, Box, and Informatica. The city's population was 84,292 according to the 2020 census. The Port of Redwood City is the only deepwater port on San Francisco Bay south of San Francisco."""
India,Rehli,157,Unhealthy,1,Good,37,Good,0,Good,157,Unhealthy,23.63,79.08,"""Rehli is a city and a municipality in Sagar district in the Indian state of Madhya Pradesh. it's also a tehsil headquarter."""
Switzerland,Renens,39,Good,1,Good,25,Good,1,Good,39,Good,46.5333,6.5833,"""Renens is a municipality in the canton of Vaud, Switzerland. It is located in the district of Ouest Lausannois, and is a suburb of the city of Lausanne. It is the fourth largest city in the canton. It is considered a very multiethnic town, as more than 50% of the inhabitants are resident foreign nationals from about a hundred different countries."""
Brazil,Resplendor,47,Good,1,Good,1,Good,4,Good,47,Good,-19.3258,-41.255,"""Resplendor is a municipality in the state of Minas Gerais in the Southeast region of Brazil."""
United States of America,Ridgecrest,35,Good,1,Good,35,Good,2,Good,24,Good,35.6308,-117.6622,"""No description provided"""
Germany,Ritterhude,31,Good,0,Good,30,Good,1,Good,31,Good,53.1861,8.758,"""Ritterhude is a municipality in the district of Osterholz, in Lower Saxony, Germany. It is situated on the river Hamme, approx. 6 km southwest of Osterholz-Scharmbeck, and 13 km northwest of Bremen."""
United States of America,Robbinsdale,53,Moderate,1,Good,40,Good,4,Good,53,Moderate,45.0261,-93.3332,"""Robbinsdale is a city in Hennepin County, Minnesota, United States. Its population was 14,646 at the 2020 census. The city is in the Minneapolis–Saint Paul metropolitan area and is adjacent to the northwest portion of Minneapolis."""
Belgium,Rochefort,32,Good,1,Good,24,Good,3,Good,32,Good,45.9421,-0.9588,"""No description provided"""
United States of America,Rosaryville,51,Moderate,1,Good,33,Good,5,Good,51,Moderate,38.7672,-76.8266,"""Rosaryville is an unincorporated area and census-designated place (CDP) in Prince George's County, Maryland, United States, located south of Clinton and Upper Marlboro beside U.S. Route 301. Per the 2020 census, the population was 11,548. including housing developments and rural open space. It was named for a local Roman Catholic church. Close to Rosaryville are the Marlton housing development, Maryland Veterans Cemetery, the Southern Maryland Farmers Market, and Rosaryville State Park."""
Finland,Rovaniemi,29,Good,1,Good,29,Good,0,Good,15,Good,66.5,25.7333,"""Rovaniemi is a city in Finland and the regional capital of Lapland. It is located near the Arctic Circle in the northern interior of the country. The population of Rovaniemi is approximately 66,000, while the sub-region has a population of approximately 69,000. It is the 17th most populous municipality in Finland, and the 12th most populous urban area in the country."""
Italy,Rozzano,64,Moderate,1,Good,40,Good,3,Good,64,Moderate,45.3833,9.15,"""Rozzano is a comune (municipality) in the Metropolitan City of Milan, in the Italian region Lombardy, located about 9 kilometres (6 mi) south of Milan."""
Ghana,Salaga,55,Moderate,2,Good,9,Good,0,Good,55,Moderate,8.55,-0.5167,"""Salaga is a town and is the capital of East Gonja district, a district in the Savannah Region of north Ghana. Salaga had a 2012 settlement population of 25,472 people. Salaga was the largest slave market in the 18th and 19th centuries."""
South Africa,Saldanha,66,Moderate,1,Good,19,Good,1,Good,66,Moderate,-32.9978,17.9456,"""No description provided"""
Spain,Salt,35,Good,1,Good,24,Good,3,Good,35,Good,41.9761,2.7881,"""In common usage, salt is a mineral composed primarily of sodium chloride (NaCl). When used in food, especially in granulated form, it is more formally called table salt. In the form of a natural crystalline mineral, salt is also known as rock salt or halite. Salt is essential for life in general, and saltiness is one of the basic human tastes. Salt is one of the oldest and most ubiquitous food seasonings, and is known to uniformly improve the taste perception of food, including otherwise unpalatable food. Salting, brining, and pickling are ancient and important methods of food preservation."""
Mexico,Saltillo,48,Good,1,Good,16,Good,2,Good,48,Good,25.4231,-100.9919,"""Saltillo is the capital and largest city of the northeastern Mexican state of Coahuila and is also the municipal seat of the municipality of the same name. Mexico City, Monterrey, and Saltillo are all connected by a major railroad and highway. As of a 2020 census, Saltillo had a population of 879,958 people, while the population of its metropolitan area was 1,031,779, making Saltillo the largest city in the state of Coahuila, and the 14th most populated metropolitan area in the country. Saltillo is considered the most competitive city in Mexico for cities with over one million inhabitants. Saltillo's success is due to its strong performance in the Urban Competitiveness Index (ICU), which is developed by the Mexican Institute for Competitiveness (IMCO). The ICU evaluates cities based on 35 indicators, including law, society, infrastructure, labor market, political system, and innovation. Saltillo is also the safest capital city in Mexico, according to INEGI data in 2025"""
Colombia,San Alberto,63,Moderate,2,Good,7,Good,3,Good,63,Moderate,7.7525,-73.3892,"""No description provided"""
Italy,San Giovanni Lupatoto,60,Moderate,1,Good,40,Good,3,Good,60,Moderate,45.3833,11.0333,"""San Giovanni Lupatoto is a town and comune (municipality) in the Province of Verona in the Italian region Veneto, located about 100 kilometres (62 mi) west of Venice and about 7 kilometres (4 mi) southeast of Verona."""
Costa Rica,San Rafael Abajo,94,Moderate,3,Good,4,Good,14,Good,94,Moderate,9.8943,-84.0837,"""San Rafael Abajo is a district of the Desamparados canton, in the San José province of Costa Rica."""
Guatemala,Sanarate,65,Moderate,2,Good,19,Good,3,Good,65,Moderate,14.795,-90.1922,"""Sanarate is a city in the El Progreso department of Guatemala. It is the administrative seat of Sanarate Municipality. A population of 20,976 makes Sanarate the second largest city of El Progreso department, after the departmental capital of Guastatoya."""
Poland,Sandomierz,36,Good,1,Good,30,Good,1,Good,36,Good,50.6833,21.75,"""Sandomierz is a historic town in south-eastern Poland with 23,863 inhabitants, situated on the Vistula River near its confluence with the San, in the Sandomierz Basin. It has been part of Świętokrzyskie Voivodeship since its transfer from the Tarnobrzeg Voivodeship in 1999. It is the capital of Sandomierz County. Sandomierz is known for its preserved Old Town, a major cultural and tourist attraction which the President of Poland declared a National Monument of Poland in 2017."""
United States of America,Sandusky,43,Good,1,Good,37,Good,3,Good,43,Good,41.4468,-82.7024,"""No description provided"""
United States of America,Shelby,67,Moderate,2,Good,26,Good,11,Good,67,Moderate,35.2904,-81.5451,"""No description provided"""
India,Sherkot,240,Very Unhealthy,6,Good,156,Unhealthy,9,Good,240,Very Unhealthy,29.35,78.58,"""Sherkot is a city and Municipal board in the Bijnor of the Indian state of Uttar Pradesh."""
Japan,Shiraoka,48,Good,1,Good,48,Good,3,Good,22,Good,36.0191,139.6769,"""Shiraoka is a city located in Saitama Prefecture, Japan. As of 1 February 2021, the city had an estimated population of 52,431 in 21,997 households and a population density of 2100 persons per km2. The total area of the city is 24.92 square kilometres (9.62 sq mi)."""
Russian Federation,Shuya,31,Good,1,Good,31,Good,1,Good,28,Good,56.85,41.3667,"""No description provided"""
India,Sironj,154,Unhealthy,1,Good,38,Good,0,Good,154,Unhealthy,24.1,77.7,"""Sironj is a town and a municipality in Vidisha district in the Indian state of Madhya Pradesh. Its also a Tehsil Headquarter."""
Nicaragua,Siuna,25,Good,1,Good,11,Good,0,Good,25,Good,13.7347,-84.7783,"""Siuna is a county-sized administrative municipality in Nicaragua, located approximately 318 kilometres (198 mi) northeast of the capital city of Managua and 218 kilometres (135 mi) west of the coastal city and regional capital Puerto Cabezas in the North Caribbean Autonomous Region (RACN). Siuna is the name of the city as well as the municipality. The municipality of Siuna contains 204 rural communities and 20 neighborhoods. Most were settled in support of gold mining along the Ei River drainage basin, leading to rapid population growth from the mid-1930s."""
India,Sardulgarh,500,Hazardous,1,Good,40,Good,1,Good,500,Hazardous,29.697,75.2388,"""Sardulgarh is a City in Mansa district in the Indian state of Punjab. Surrounded by cities of Mansa city, Sirsa, Tohana, Bathinda, Fatehabad. It is a Sub-Division (Tehsil) of District Mansa. Its old name was Tadalan or Dhudalan/Dhudhal."""
United States of America,Savage,50,Good,1,Good,40,Good,4,Good,50,Good,44.7545,-93.3632,"""No description provided"""
Ghana,Savelugu,52,Moderate,2,Good,5,Good,1,Good,52,Moderate,9.6167,-0.8333,"""Savelugu is a town and the capital of Savelugu Municipal, a municipality in the Northern Region of north Ghana. Savelugu has a 2012 settlement population of 38,074 people. There are many villages under Savelugu kingship. Most of the villages are smaller."""
Germany,Schwalbach,31,Good,0,Good,31,Good,1,Good,26,Good,49.2833,6.8167,"""No description provided"""
United States of America,Searcy,73,Moderate,1,Good,17,Good,7,Good,73,Moderate,35.2418,-91.7351,"""No description provided"""
Spain,Segovia,34,Good,1,Good,20,Good,3,Good,34,Good,40.9481,-4.1183,"""Segovia is a city in the autonomous community of Castile and León, Spain. It is the capital and most populated municipality of the Province of Segovia. Segovia is located in the Inner Plateau of the Iberian Peninsula, near the northern slopes of the Sistema Central mountain range. Housing is nestled on a bend of the Eresma river."""
Italy,Settimo Torinese,72,Moderate,2,Good,23,Good,8,Good,72,Moderate,45.1333,7.7667,"""Settimo Torinese is a comune in the Metropolitan City of Turin, in Piedmont, Italy. The name settimo means 'seventh', and it comes from the comune's distance from Turin, which is seven Roman miles. It is bordered by the other comuni of Leinì, Mappano, Volpiano, Brandizzo, San Mauro Torinese, Gassino Torinese, Castiglione Torinese, and Turin."""
Japan,Settsu,46,Good,1,Good,46,Good,0,Good,23,Good,34.7772,135.5622,"""Settsu is a city located in Osaka Prefecture, Japan. As of 1 October 2022, the city had an estimated population of 87,143 in 40,825 households and a population density of 5700 persons per km2. The total area of the city is 76.49 square kilometres (29.53 sq mi). It is a suburban city of Osaka City and a part of the Kyoto-Osaka-Kobe metropolitan area."""
Malaysia,Shah Alam,78,Moderate,2,Good,43,Good,2,Good,78,Moderate,3.0722,101.5167,"""Shah Alam is a city and the state capital of Selangor, Malaysia which is situated within the Petaling District and a small portion of the neighbouring Klang District. Shah Alam replaced Kuala Lumpur as the capital city of the state of Selangor in 1978 due to Kuala Lumpur's incorporation into a Federal Territory in 1974. Shah Alam was the first planned city in Malaysia after independence from Britain in 1957."""
India,Shahdol,175,Unhealthy,1,Good,39,Good,0,Good,175,Unhealthy,23.28,81.35,"""Shahdol is a City in Shahdol district in the Indian state of Madhya Pradesh. It is the administrative headquarters of Shahdol district, The total geographical area of the district is 5,671 square kilometres (2,190 sq mi)."""
China,Shanghai,156,Unhealthy,4,Good,156,Unhealthy,8,Good,152,Unhealthy,31.1667,121.4667,"""Shanghai is a direct-administered municipality and the most populous urban area in China. The city is located on the Chinese shoreline on the southern estuary of the Yangtze River, with the Huangpu River flowing through it. The population of the city proper is the second largest in the world after Chongqing, with around 24.87 million inhabitants in 2023, while the urban area is the most populous in China, with 29.87 million residents. As of 2022, the Greater Shanghai metropolitan area was estimated to produce a gross metropolitan product (nominal) of nearly 13 trillion RMB. Shanghai is one of the world's major centers for finance, business and economics, research, science and technology, manufacturing, transportation, tourism, and culture. The Port of Shanghai is the world's busiest container port."""
Japan,Shibukawa,43,Good,1,Good,43,Good,0,Good,18,Good,36.3894,139.0633,"""Shibukawa is a city in Gunma Prefecture, Japan. As of 31 August 2020, the city had an estimated population of 76,098 in 32,439 households, and a population density of 320 inhabitants per square kilometre (830/sq mi). The total area of the city is 240.27 square kilometres (92.77 sq mi). Shibukawa is the location of Ikaho Onsen, a popular hot spring resort."""
United Kingdom of Great Britain and Northern Ireland,Shipley,26,Good,1,Good,26,Good,3,Good,22,Good,53.833,-1.777,"""No description provided"""
Brazil,Sobral,56,Moderate,1,Good,6,Good,4,Good,56,Moderate,-3.6739,-40.2389,"""No description provided"""
Italy,Parabiago,68,Moderate,1,Good,37,Good,4,Good,68,Moderate,45.5583,8.9477,"""Parabiago is a town located in the north-western part of the Metropolitan City of Milan, Lombardy, northern Italy."""
India,Parbhani,128,Unhealthy for Sensitive Groups,1,Good,30,Good,0,Good,128,Unhealthy for Sensitive Groups,19.27,76.78,"""Parbhani is a city in Maharashtra state of India. It is the administrative headquarters of Parbhani District. Parbhani is one of the largest cities in Marathwada region. Parbhani is around 200 kilometres (120 mi) away from regional headquarters of Aurangabad while it is 491 km (305 mi) away from the state capital Mumbai."""
Australia,Parkes,21,Good,0,Good,21,Good,0,Good,10,Good,-33.133,148.176,"""No description provided"""
Spain,Parla,50,Good,1,Good,14,Good,7,Good,50,Good,40.2372,-3.7742,"""Parla is a municipality in the Community of Madrid, Spain. It is located in the southern part of the region, approximately 20 km from the capital, Madrid."""
Ecuador,Pasaje,53,Moderate,1,Good,11,Good,3,Good,53,Moderate,-3.3269,-79.8049,"""Pasaje is a town in the lowlands of the El Oro Province, Ecuador. Pasaje is the seat of the Pasaje Canton. It is located on the border of the Jubones River."""
United Kingdom of Great Britain and Northern Ireland,Penarth,50,Good,1,Good,16,Good,5,Good,50,Good,51.43,-3.17,"""Penarth is a town and community in the Vale of Glamorgan, Wales, approximately 3 miles (4.8 km) south of Cardiff city centre on the west shore of the Severn Estuary at the southern end of Cardiff Bay."""
Brazil,Penha,57,Moderate,2,Good,4,Good,6,Good,57,Moderate,-26.7689,-48.6458,"""No description provided"""
Italy,Pesaro,47,Good,1,Good,47,Good,1,Good,28,Good,43.9167,12.9,"""Pesaro is a comune (municipality) in the Italian region of Marche, capital of the province of Pesaro and Urbino, on the Adriatic Sea. According to the 2011 census, its population was 95,011, making it the second most populous city in the Marche, after Ancona. Pesaro was dubbed the 'Cycling City' by the Italian environmentalist association Legambiente in recognition of its extensive network of bicycle paths and promotion of cycling. It is also known as 'City of Music', for it is the birthplace of the composer Gioachino Rossini. In 2015 the Italian Government applied for Pesaro to be declared a 'Creative City' in UNESCO's World Heritage Sites. In 2017 Pesaro received the European City of Sport award together with Aosta, Cagliari and Vicenza."""
Germany,Pfungstadt,31,Good,0,Good,31,Good,1,Good,25,Good,49.8056,8.6044,"""Pfungstadt is a town of 25,029 inhabitants (2020), in the district of Darmstadt-Dieburg in the state of Hesse, Germany."""
India,Phaltan,103,Unhealthy for Sensitive Groups,0,Good,27,Good,0,Good,103,Unhealthy for Sensitive Groups,17.98,74.43,"""Phaltan is a city, tehsil and municipal council in the Satara district in the Indian state of Maharashtra. The city is about 59 kilometres (37 mi) northeast of the city of Satara and about 110 km from Pune."""
United States of America,Ponce,85,Moderate,0,Good,22,Good,0,Good,85,Moderate,18.0127,-66.6212,"""No description provided"""
Bolivia (Plurinational State of),Portachuelo,67,Moderate,1,Good,15,Good,0,Good,67,Moderate,-17.3572,-63.3906,"""Portachuelo is a small town in Bolivia."""
Brazil,Porto Real,94,Moderate,3,Good,0,Good,8,Good,94,Moderate,-22.42,-44.29,"""Porto Real is a municipality located in the Brazilian state of Rio de Janeiro. Its population was 19,974 (2020) and its area is 50.9 km2."""
Germany,Sondershausen,34,Good,0,Good,28,Good,2,Good,34,Good,51.3667,10.8667,"""Sondershausen is a town in Thuringia, central Germany, capital of the Kyffhäuserkreis district, situated about 50 km north of Erfurt. On 1 December 2007, the former municipality Schernberg was merged with Sondershausen."""
Thailand,Song Phi Nong,35,Good,0,Good,22,Good,0,Good,35,Good,14.2306,100.0389,"""No description provided"""
